#Article,Article,Total Words (m),Frequency (f),Relative Frequency (f/m)
1,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it s launching the app in Canada as part of its global expansion plan.;The move into Canada will give Uber Freight access to the country s $68 billi  [+2181 chars]",47,2,0.0425531914893617
5,"(CNN)Thanks to a minor geomagnetic storm, the northern lights may be visible in parts of the northern United States and across Canada on Wednesday night.;According to NOAA's Space Weather Prediction Center, an explosion of solar energy from the sun is set to  [+766 chars]",45,1,0.022222222222222223
6,"Earlier this year, at Mobile World Congress in Barcelona, Microsoft announced the second generation of its HoloLens augmented reality visor. Today, the $3,500 HoloLens 2 is going on sale in the United States, Japan, China, Germany, Canada, United Kingdom, Ire  [+1739 chars]",42,1,0.023809523809523808
7,"Disney+ will launch in the US, Canada, and the Netherlands on November 12th, a bit shy of a week from today. On November 19th, it ll expand to Australia and New Zealand.;But what about the rest of the world?;Disney has kept a bit quiet about its plans for o  [+994 chars]",53,1,0.018867924528301886
8,"The centerpiece of Disneys streaming strategy is here.;After an initial test in the Netherlands, Disney+ is officially launching in the United States and Canada today, with a lineup of original content that includes the first episode of the very first live a  [+5086 chars]",45,1,0.022222222222222223
9,"Were excited to announce a new Extra Crunch community perk from Zendesk. Starting today, annual and 2-year Extra Crunch members that are new to Zendesk and located within the US or Canada can receive a credit for six months of unlimited licenses for any combi  [+3156 chars]",47,1,0.02127659574468085
10,"Roberto Bautista Agut spoke through tears after his victory, which came three days after the death of his father;Roberto Bautista Agut put Spain 1-0 ahead in their Davis Cup final against Canada with an emotional victory over Felix Auger-Aliassime in Madrid.  [+1463 chars]",44,1,0.022727272727272728
12,"Early Thursday morning, people all over the U.S. and Canada began receiving strange text messages that didnt make a whole lot of sense. The texts were from people they knew but they lacked context and appeared to have been sent months ago. And it really freak  [+4010 chars]",48,1,0.020833333333333332
14,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up   [+11388 chars]",40,1,0.025
16,"TORONTO -- Disney Plus has arrived in Canada, becoming the newest player in the growing menu of TV options, but some users say they've encountered technical problems trying to access the streaming platform.;A number of Canadians took to social media on Tuesd  [+2422 chars]",45,1,0.022222222222222223
